suburb,sa4_area,crime_type,year,incident_count
Surry Hills,N/A,Theft,2024-2025,13.875
Surry Hills,N/A,Theft,2024-2025,3.5
Surry Hills,N/A,Theft,2024-2025,8.5
Surry Hills,N/A,Theft,2024-2025,8.125
Surry Hills,N/A,Theft,2024-2025,13.625
Surry Hills,N/A,Theft,2024-2025,1.9166666666666667
Surry Hills,N/A,Theft,2024-2025,0.0
Surry Hills,N/A,Theft,2024-2025,12.375
Surry Hills,N/A,Theft,2024-2025,19.166666666666668
Surry Hills,N/A,Arson,2024-2025,0.3333333333333333
Surry Hills,N/A,Malicious damage to property,2024-2025,16.583333333333332
Surry Hills,N/A,Drug offences,2024-2025,6.0
Surry Hills,N/A,Drug offences,2024-2025,2.0416666666666665
Surry Hills,N/A,Drug offences,2024-2025,8.291666666666666
Surry Hills,N/A,Drug offences,2024-2025,7.5
Surry Hills,N/A,Drug offences,2024-2025,1.5416666666666667
Surry Hills,N/A,Drug offences,2024-2025,5.833333333333333
Surry Hills,N/A,Drug offences,2024-2025,8.666666666666666
Surry Hills,N/A,Drug offences,2024-2025,0.2916666666666667
Surry Hills,N/A,Drug offences,2024-2025,1.0416666666666667
Surry Hills,N/A,Drug offences,2024-2025,0.5833333333333334
Surry Hills,N/A,Drug offences,2024-2025,1.0833333333333333
Surry Hills,N/A,Drug offences,2024-2025,1.25
Surry Hills,N/A,Drug offences,2024-2025,0.0
Surry Hills,N/A,Drug offences,2024-2025,0.0
Surry Hills,N/A,Drug offences,2024-2025,0.0
Surry Hills,N/A,Drug offences,2024-2025,3.1666666666666665
Surry Hills,N/A,Prohibited and regulated weapons offences,2024-2025,8.583333333333334
Surry Hills,N/A,Disorderly conduct,2024-2025,6.75
Surry Hills,N/A,Disorderly conduct,2024-2025,3.5416666666666665
Surry Hills,N/A,Disorderly conduct,2024-2025,0.7916666666666666
Surry Hills,N/A,Disorderly conduct,2024-2025,2.875
Surry Hills,N/A,Betting and gaming offences,2024-2025,0.0
Surry Hills,N/A,Liquor offences,2024-2025,5.416666666666667
Surry Hills,N/A,Pornography offences,2024-2025,0.08333333333333333
Surry Hills,N/A,Against justice procedures,2024-2025,0.25
Surry Hills,N/A,Against justice procedures,2024-2025,5.958333333333333
Surry Hills,N/A,Against justice procedures,2024-2025,58.583333333333336
Surry Hills,N/A,Against justice procedures,2024-2025,0.08333333333333333
Surry Hills,N/A,Against justice procedures,2024-2025,5.083333333333333
Surry Hills,N/A,Against justice procedures,2024-2025,0.5
Surry Hills,N/A,Transport regulatory offences,2024-2025,5.625
Surry Hills,N/A,Other offences,2024-2025,5.25
