suburb,osm_score,cafe,restaurant,gym,school,hospital,pharmacy,library,park,playground,sports_centre
The Slopes,0.0008,0,0,0,1,0,0,0,0,0,0
Thornleigh,0.0635,4,4,0,2,0,1,1,25,19,1
Toongabbie,0.1051,1,4,2,13,1,2,0,36,44,2
Tregear,0.0285,0,0,0,3,0,0,0,11,14,0
Turramurra,0.1503,8,13,2,14,1,5,1,55,32,5
Turrella,0.0205,1,0,0,3,0,0,0,8,7,0
Ultimo,0.1556,52,49,0,4,0,0,4,18,5,2
Umina Beach,0.0567,5,9,1,2,0,0,1,20,8,1
Varroville,0.031,0,1,0,5,0,1,0,15,3,0
Vaucluse,0.0572,6,6,0,3,0,1,0,24,3,1
Villawood,0.0602,2,2,0,6,0,0,0,25,15,3
Vineyard,0.0172,2,0,0,5,0,1,0,6,2,0
Voyager Point,0.0107,0,0,0,0,0,0,0,6,2,0
Wagstaffe,0.0016,0,0,0,0,0,0,0,1,0,0
Wahroonga,0.2906,32,41,7,31,4,13,2,82,52,7
Waitara,0.0509,12,10,1,6,1,4,0,8,8,0
Wakeley,0.0454,2,1,0,2,0,1,0,23,6,0
Wallacia,0.0143,0,0,0,1,0,0,0,7,3,1
Wareemba,0.0044,0,1,0,0,0,0,0,2,0,0
Warrawee,0.0484,2,6,0,4,0,2,1,18,9,1
Warriewood,0.1577,32,14,3,6,2,5,1,50,21,4
Warwick Farm,0.1175,19,13,11,12,2,2,1,32,11,2
Waterfall,0.0068,0,0,0,1,0,0,0,3,2,0
Waterloo,0.1666,35,51,0,2,0,4,1,33,12,2
Watsons Bay,0.0232,4,4,0,0,0,1,1,8,1,0
Wattle Grove,0.0435,0,1,0,2,0,0,0,21,12,0
Waverley,0.0367,2,5,0,11,2,1,0,10,4,0
Waverton,0.0754,6,12,3,3,1,2,1,30,0,0
Wedderburn,0.0069,0,0,0,0,0,0,0,4,1,0
Wendoree Park,0.0,0,0,0,0,0,0,0,0,0,0
Wentworth Point,0.032,5,7,0,2,0,2,2,6,7,2
Wentworthville,0.0501,1,14,2,5,1,5,1,10,9,3
Werrington,0.0436,1,2,0,6,0,0,0,18,7,4
Werrington County,0.0225,1,2,1,2,0,1,0,9,3,0
Werrington Downs,0.0077,0,0,0,1,0,0,0,4,1,0
West Gosford,0.02,2,1,6,3,2,1,0,3,2,2
West Hoxton,0.0799,5,3,1,7,0,2,1,33,16,2
West Pennant Hills,0.1066,2,2,0,9,0,0,0,51,22,1
West Pymble,0.0504,2,3,0,3,1,1,0,21,11,2
West Ryde,0.103,2,7,0,8,1,1,1,45,20,2
Westleigh,0.0209,0,1,0,1,0,0,0,10,5,0
Westmead,0.0452,11,7,2,11,5,0,0,0,15,3
Wetherill Park,0.0542,4,2,0,6,1,1,1,20,15,1
Whalan,0.0376,0,1,0,5,0,0,0,17,9,0
Whale Beach,0.0032,0,0,0,0,0,0,0,2,0,0
Wheeler Heights,0.0113,0,2,0,2,0,1,0,4,1,0
Wheeny Creek,0.0046,0,0,0,1,0,0,0,2,1,0
Wilberforce,0.0329,1,2,0,4,0,2,0,13,8,0
Wiley Park,0.0257,0,0,0,6,0,0,1,10,8,0
Willmot,0.0213,0,0,0,1,0,0,0,11,5,0
Willoughby,0.0446,7,3,1,3,1,0,0,13,12,2
Willoughby East,0.0101,2,1,0,1,1,0,0,3,1,0
Windsor Downs,0.0032,0,0,0,2,0,0,0,1,0,0
Winmalee,0.0252,4,2,1,4,0,1,0,6,7,0
Winston Hills,0.0799,2,1,1,8,1,0,0,34,23,1
Wisemans Ferry,0.0153,4,3,0,1,0,1,0,3,2,0
Wollangambe,0.0,0,0,0,0,0,0,0,0,0,0
Wolli Creek,0.0493,6,8,1,1,0,1,0,17,6,0
Wollstonecraft,0.0917,9,18,3,5,2,1,2,29,8,0
Wondabyne,0.0065,0,1,0,1,0,0,0,2,1,1
Woodbine,0.0337,0,3,0,2,0,0,2,17,2,0
Woodcroft,0.0263,0,2,0,2,0,0,1,10,10,0
Woodpark,0.0209,1,1,0,0,0,0,0,9,7,0
Woollahra,0.0707,12,8,0,4,1,0,0,23,10,2
Woolloomooloo,0.0693,19,19,0,4,1,1,2,12,2,0
Woolooware,0.0225,1,0,1,4,0,1,0,10,2,0
Woolwich,0.0112,0,1,0,1,0,0,0,5,2,0
Woronora,0.0328,2,3,0,2,0,0,0,12,10,0
Woronora Dam,0.0169,0,1,0,2,0,0,1,6,6,1
Woronora Heights,0.0109,0,1,0,1,0,0,0,4,4,0
Woy Woy,0.1151,14,19,4,3,0,3,2,35,19,2
Woy Woy Bay,0.0077,1,0,0,0,0,0,0,3,3,0
Wyoming,0.0397,1,7,1,4,1,1,2,12,9,0
Yagoona,0.1066,1,6,1,11,0,3,1,43,29,2
Yarramundi,0.0233,2,1,1,4,0,1,0,7,6,1
Yarrawarrah,0.014,0,1,0,3,0,1,0,4,6,0
Yennora,0.0284,2,1,1,6,0,1,0,10,5,0
Yowie Bay,0.0161,1,0,0,1,0,0,0,7,5,0
Zetland,0.1093,25,33,0,2,0,1,1,21,7,1
